question,context,answer
Ano ang hindi pinahihintulutan?,"Sa mga pamayanang rural, hindi pa rin pinapahintulutan ang mga Pilipina na maging masyadong liberal. Kailangan pa rin nilang impitin at itago ang kanilang mga katangian at seksuwalidad, at dapat na magpakita ng buong kawalan ng kagustuhan sa pakikisalamuha sa mga lalaki upang mapanatili ang reputasyon at paggalang sa sarili.",ang mga Pilipina na maging masyadong liberal
Ano ang hindi mainam at nakasirang gawain?,"Alinsunod sa kalinangan, tinatanaw ang paghihiwalay ng mag-asawa sa pamamagitan ng diborsiyo bilang isang hindi mainam at nakasisirang gawain sa Pilipinas, dahil sa isang kaugalian na nagbabanggit at nagbibigay diin na ang mag-anak ang pinakagitnang antas ng lipunan, natatangi na para sa asawang babaeng Pilipino.",ng diborsiyo bilang isang hindi mainam
Ano ang isa sa layunin ng dalubhasa sa kompyuter?,"Isa sa mga layunin ng mga naunang dalubhasa sa kompyuter ang paglikha ng makinang nakapaglalaro ng ahedres, ang pangkasalukuyang larong ahederes ay lubhang naimpluho ng mga kakayahan ng mga pangsangayong programa ng ahedres at ng kakayahan ng pakikipaglaro sa Internet.",paglikha ng makinang nakapaglalaro ng ahedres
Bakit sinasabi na marumi ang politika?,"Pangunahing dahil ito sa itinuturing na marumi ang pakikilahok sa politika, at dahil sa nakaugaliang diwa na nagsasabing hindi maaaring magkaroon ng mga tungkulin ang mga babae na mas mataas kesa sa kanilang mga asawang lalaki. Ngunit nagbabago rin ang ideyang kabilang lamang ang mga babae sa tahanan, sa simbahan, o sa kumbento.",dahil sa nakaugaliang diwa na nagsasabing hindi maaaring magkaroon ng mga tungkulin ang mga babae na mas mataas kesa sa kanilang mga asawang lalaki
Kailan nagsimula ang dalawang organisasyon?,"Simula noong ika-20 siglo, dalawang organisasyong pang-internasyunal, ang Pederasyong Pandaigdig ng Ahedres at ang Pederasyon ng Ugnayang Pang-internasyunal na Pang-ahedres ang nagtatag at namahala sa mga pangunahing paligsahan sa ahdres at mga titulong pang-internasyonal.",Simula noong ika-20 siglo
Ano ang hugis ng sungay sa pinakapuno?,"Mga lapad na kapatagan ang mga sungay at tatlusok ang hugis sa pinakapuno. Dahil sa palagian pagkiskis, may gasgas ang panlabas na anyo ang mga sungay ng tamaraw ngunit may magaspang na panloob na mga gilid. Sinasabing may habang mga 35.5 hanggang 51.0 sentimetro ang mga sungay.",Mga lapad na kapatagan ang mga sungay at tatlusok ang hugis sa pinakapuno.
Nakatanggap ba ng rekomendasyon si garcia?,Sinabi rin ni Garcia na walang anumang recommendation letter na natatanggap ang kanyang tanggapan para sa paglalagay ng vaccination centers para sa mga botante sa araw ng halalan.,Sinabi rin ni Garcia na walang anumang recommendation letter na natatanggap 
Saan makikita nag mga larawan?,"At pareho pa rin namang makikita ang mga photo nila sa kanilang mga Instagram. Kumbaga, walang burahan, na isa pa nga sa ginagamit na basehan ng mga ‘marites’ kapag hiwalay na ang magdyowa.",sa kanilang mga Instagram
Ano ang dahilan kung bakit malaki ang populasyon ng bansang Pilipinas?,"Maraming dahilan kung bakit  malaki ang populasyon ng bansang Pilipinas,isa na dito ang walang birth control at dahil sa paniniwala na ang mga anak ay biyaya mula sa panginoon.",walang birth control at dahil sa paniniwala na ang mga anak ay biyaya mula sa panginoon.
Paano ginagawa ang keso?,Maaaring nagsimula ang paggawa ng keso upang maitago ang maasim at kultadong gatas sa pamamagitan ng pagpiga at pag-aasin nito kung saan ang kuwaho ay idinagdag sa dakong huli at mapansing ang kesong sinamahan ng tiyan ng hayop ay mas matigas at maganda ang pagkakulta.,ng pagpiga at pag-aasin
Saan inihahambing ang mga kababaiyahan?,"Dito sa balangkas na ito - na may kayariang pangkahanayan, pagkakaiba-ibang antas sa lipunan, kadahilanang makapananampalataya, at pamumuhay sa isang umuunlad na bansa ng mundo - nakikibaka ang mga kababaihang Pilipino. Kung ihahambing sa ibang mga bahagi ng Timog-silangang Asya, palagiang nakakatamasa ng mas malaking antas ng kapantayang makabatas ang mga kababaihang nasa lipunan ng Pilipinas.",ibang mga bahagi ng Timog-silangang Asya
Anu ano ang pangalan ng limang Fuwa?,"Ang Fuwa bawat ay may kanilang pangunahing kulay, isa sa mga kulay ng limang Singsing ng Olimpiko. Ang mga limang Fuwa ay nagngangalang Beibei, Jingjing, Huanhuan, Yingying, at Nini.","Beibei, Jingjing, Huanhuan, Yingying, at Nini"
Ano ang magkatulad na sa palantandaan?,Katulad ng sa Anoa Bubalus depressicornis ang mga palatandaang ito. Magkatulad ng kulay ang mukha at katawan. Karamihan sa mga kasapi ng sari ang mayroon magkatambal na mga abuhing-puting guhit na nagsisimula mula sa panloob na sulok ng mata hanggang sa mga sungay. May maitim na balat ang ilong at mga labi. ,Magkatulad ng kulay ang mukha at katawan
Anu-ano ang ang kasangkapan ng pinakbit?,"Maraming uri ng pagkain ang matitikman sa bansang Pilipinas. Subalit Pinakbit ang pina masarap sa lahat. Ito ay may kasangkapan na talong,sitaw,kamatis,okra,kalabasa, baboy, at bawang.","Ito ay may kasangkapan na talong,sitaw,kamatis,okra,kalabasa, baboy, at bawang."
Kailan nagsimula ang rebolusyon?,"Nagsimula ang rebolusyon laban sa Espanya noong Abril ng 1896, na pagkaraan ng dalawang taon ay humantong sa proklamasyon ng kalayaan at ang pagtatatag ng Unang Republika ng Pilipinas. Ngunit ang Kasunduan sa Paris, na naganap sa katapusan ng Digmaang Espanyol-Amerikano, ay naglipat ng pamamahala sa Pilipinas sa Estados Unidos. ",sa Espanya noong Abril ng 1896
Anong ang pinaka importanting parti ng laro?,"Kapag ang hari ay nasa tuwirang pag-atake ng mga kalaban, masasabing ito ay nasa ilalim ng paglusob. Pag nasa ganitong sitwasyon, ang mga tírang makakaalis lang ng paglusob ang hahayaan. Ang bawat manlalaro ay 'di maaring gumalaw sa paraang mahuhúli ng kalaban nang agaran ang hari.",Kapag ang hari ay nasa tuwirang
"Ano ang dapat gawin para maging malinis,malusog ang ating katawan?","Ang pag iinom ng maraming tubig, pagkain ng masustansya at tamang tulog ay nakakatulong para maging malinis, malusog ang ating kawatan.","Ang pag iinom ng maraming tubig, pagkain ng masustansya at tamang tulog"
Ang bawat piyesa ang may kanyang kanya ano?,Ang bawat piyesa ay may kani-kaniyang estilo sa paggalaw. Ang mga ekis sa mga parisukat ay nagpapakita na maaring pumunta doon ang isang piyesa kapag walang ibang umookupa sa pagitan ng panggagalingan at pupuntahan ng piyesa.,may kani-kaniyang estilo sa paggalaw
Ano ang pikamabagal sa lahat ng piyesa?,"Isa pang mahalagang isipin sa pagsasaliksik sa mga posisyon ay ang pagkakaayos ng mga kawal. Dahil ang mga kawal ay ang pinakamabagal sa lahat ng mga piyesa, ang pagkakaayos ng mga ito ay hindi kadalasang nagagalaw at nakaka-impluwensiya sa stratehikong kalagayan ng posisyon.",Dahil ang mga kawal
Saan nilalaro ang ahedres?,"Ang ahedres ay nilalaro sa isang parisukat na tablang mayroong walong pahalang (na may numerong 1 hanggang 8) at walong pababang mga linya (na may letrang a hanggang h) ng mga kuwadrado. Ang kulay ng animnapu't-apat na kuwadrado ay salit-salitan at tinatawag na ""maputing kuwadrado"" at ""maitim na kuwadrado"".", isang parisukat na tablang mayroong walong pahalang (na may numerong 1 hanggang 8) at walong pababang mga linya (na may letrang a hanggang h) ng mga kuwadrado
Ano ang pamagat ng tula ni Jose Palma?, Ang tula ni Jose Palma ay ipinamagat na “Filipinas”. Inilathala ito sa unang anibersaryo ng La Independencia noon Setyembre 1899.,Ang tula ni Jose Palma ay ipinamagat na “Filipinas”
Ano ang trabaho ng tatay?,"Noong 1912, nagtapos siya ng may mga karangalan mula sa Paaralang Furuwatari, at pumasok sa Nagoya Daigo Chugaku (mataas na paaralang Zuiryo ngayon), isang magkasanib na mataas na paaralang pang-junior at senior. Gusto ng tatay ni Sugiharang sundin nito ang mga yapak niya bílang isang manggagámot, ngunit sinadyang ibagsak ni Sugihara ang sarili mula sa pagsusulit para makapasok sa paaralang mangmedisina sa pamamagitan ng pagsulat lamang ng kaniyang pangalan sa mga papel ng pagsusulit.",mga yapak niya bílang isang manggagámot
Bakit nanganganib ang Tamaraw?,"Ang tamaraw ay nangaganib dahil sa endemiko at bihirang panlupang mammal ito. Sa ngayon, ito ay nakalista bilang labis na nanganganib na uri mula pa noong taong 2000 sa Pulang Listahan ng IUCN ng nangaganib na uri. Ang pagkakaalam ng konserbasyon ng pangagalaga ng Bubalus mindorensis ay nagmula pa noong 1965 kung saang inuri ito bilang Status inadequately known ng IUCN.",Ang tamaraw ay nangaganib dahil sa endemiko at bihirang panlupang mammal ito
Au ano ang dalawang wika kanyang pinag aralan?,"Sa halip, nagpatalâ siya sa Pamantasang Waseda noong 1918 at nagkaroon ng degri sa panitikang Ingles. Noong 1919, pumasa siya sa pagsusulit ng pang-iskolar ng Ministeryo ng Ugnayang Panlabas. Kinuha siya ng Ministeryo ng Ugnayang Panlabas ng Hapon at itinalaga siya sa Harbin, Tsina, kung saan nag-aral din siya ng mga wikang Ruso at Aleman, at naging isang dalubhasa sa pakikipag-ugnayang pang-Ruso sa kalaunan.",ng mga wikang Ruso at Aleman
Anu ano ang katangian ng mga ita?,"Ita ang tawag sa mga ninuno ng mga tao sa bansang Pilipinas. Ito ay may katangian na kulot ang buhok, maitim ang kulay at pandak.","Ito ay may katangian na kulot ang buhok, maitim ang kulay at pandak."
Kailan ipinagbabawal ang pagbinta ng tamaraw?,"Noong 2001, pinatupad ang Republic Act 9147 o Wildlife Resources Conservation and Protection Act na nagbabawal ng pagbenta at pangagaso ng mga tamaraw at iba pang mga edimikong uri. Nagtayo ng isang gene pool noong dekada '70 upang maparami ang dami ng mga tamaraw. Sa ngayon ay si Kali at ang nanay nitong si ""Mimi"" na lamang ang natitira sa proyektong ito.",Noong 2001
Saan lumaki si Amorsolo?,"Isinilang si Fernando Amorsolo noong 30 Mayo 1892 sa Paco, Maynila kina Pedro Amorsolo, isang tenedor de libro, at Bonifacia Cueto. Lumaki si Amorsolo sa Daet, Camarines Norte, kung saan nakapag-aral siya sa isang paaralang pampubliko at tinuruang bumasa at sumulat ng wikang Kastila sa bahay.","Amorsolo sa Daet, Camarines Norte"
Ilang araw ang nabubuhay ang tamaraw?,Nalalaman na ang tamaraw ay nabubuhay ng hanggang 300 araw lamang matapos ipagdalang-hayop sa loop ng sinapupunan. Mayroong dalawang taong pagitan sa bawat pagluluwal bagaman napagmasdang ang isang babaeng tamaraw na may tatlong batang mga supling. Namumuhay na kasama ng kaniyang ina ang batang baka sa loob ng mga 2-4 taon at namumuhay nang mag-isa pagkatapos.,ng hanggang 300 araw 
Gaano kahaba ang buntot ng Bubalus Mindorensis?,Maliit lamang ang pagkakaroon ng dimorpismong sekswal sa uri bagaman naipahayag na may makakapal na mga leeg ang mga lalaki. May karaniwang taas na 100 hanggang 105 sentimetro ang balikat ng tamaraw. 220 sentimetro ang haba ng katawan habang 60 sentimetro ang buntot.,220 sentimetro ang haba ng katawan habang 60 sentimetro ang buntot.
Ano dapat gawin para makatulong sa sambayanan?,Gumawa ng kabutihan at pagtulong sa kapwa ay walang bayad at malaki ang tulong sa buong sambayanan. Ugaliing maging mabuti at patas ang pananaw at trato sa bawat isa.,Gumawa ng kabutihan at pagtulong sa kapwa
Ano antas ang nagpapakita ng pagrugrupo?,Ang tamaraw ay isang mapag-isang hayop at hindi tulad ng kalabaw. Ang mga matatandang miyembro ay hindi napapabilang sa mga malalaki o maliliit na grupo at nakikita lamang na mag-isa. Ang mga bata o juvenile lamang ang nagpapakita ng ugaling nakikita sa mga kalabaw tulad ng pagrugrupo at hiyararkiya.,Ang mga bata o juvenile lamang
Ano ang hugis ng mga sungay ng tamaraw?,"Salungat sa karaniwang paniniwala at nakaraang klasipikasyon, hindi sub-uri ang tamaraw ng kalabaw, na mas malaki lamang ng kaunti. May mga ilang pagkakaiba ito sa kalabaw: ang tamaraw ay mas mabuhok ng kaunti, may mga maliwanag na marka sa kanyang mukha at may mas maikling mga sungay na parang titik V.",maikling mga sungay na parang titik V
Ano ang ginagawa sa mga dumadayo sa fiesta ng ati atihan?,Maraming mga fiesta ang pinagdiriwang sa ibat ibang panig ng bansa. Pero ati - atihan ang pinakasikat sa lahat dahil ito ay makulay at lahat ng mga dumadayo ay pinupunasan ng uling para maging maitim ang kulay ng buong katawan.,dumadayo ay pinupunasan ng uling para maging maitim ang kulay ng buong katawan.
Sino ang nagpasa ng Batas Komomwelt Blg 120?,"Itinatag ang NAPOCOR noong 3 Nobyembre 1936 sa pamamagitan ng Batas Komonwelt Blg. 120 na ipinasa ni Pangulong Manuel L. Quezon. Isinabansa ng batas ang industriyang hidroelektriko at inilaan ukol sa gamit ng NAPOCOR, lahat ng mga batis, mga lawa at mga bukal sa Pilipinas kung saan makakalikha ng kuryente, na napapailalim sa mga umiiral na karapatan.",Pangulong Manuel L. Quezon. 
Kailan nadeklarang Republika ang Filipinas?,Ang musika ng Pambansang Awit ng Filipinas ay nilikha ni Julian Felipe. Ang original na pamagat ay “Marcha Filipina Magdalo” at ipinalit ito at ginawang “Marcha Nacional Filipina. Ginamit ito sa okasyon ng pagdedeklara ng Unang Republika ng Filipinas noon 12 Hunyo 1898.,Unang Republika ng Filipinas noon 12 Hunyo 1898.
Saan nagsisimula ang pagpasa ng sulo?,"Nagsimula ang pagpasa ng sulo noong 24 Marso 2008, sa Olimpiya, Gresya. Mula roon, naglakbay ito sa Gresya patungong Istadyum ng Panathinaiko sa Atenas, at sumunod sa Beijing, na dumating noong Marso 31. Nakarating ang apoy sa tuktok ng Bundok Everest sa isang 108 km (67 mi) lansangan na nag-iiskala ang gilid na Tibet ng bundok lalo na naitayo para sa pagpasa. Ang $19.7 angaw na proyektong aspalto at lumawak mula Kundado ng Tingri ng Prepektura ng Xigazê sa Base Kampo ng Everest.","sa Olimpiya, Gresya"
Saan unang naitala ang tamaraw?,"Unang naitala ang tamaraw noong 1888 sa pulo ng Mindoro. Bago sumapit ang 1900, walang naninirahan sa Mindoro dahil sa malaria. Subalit nang malikha ang mga gamot laban sa malaria, mas maraming mga mamamayan ang nanirahan sa pulo. Lubhang nakapagpababa sa bilang ng mga tamaraw ang pagtaas na gawaing ito ng mga tao.",Unang naitala ang tamaraw noong 1888 sa pulo ng Mindoro.
Ano ang pwesto ng mga kababaihan?,"Subalit, ang mga pangkasalukuyang gawi sa pamamahala ng mga tauhan sa kompanya at negosyo ang nagbigaydaan sa pagkakaroon ng pagkakapantay-pantay. Matutunghayan na ito ngayon sa pagkakaroon ng maraming mga babaeng humahawak ng mga matataas na mga puwesto sa malalaki at maliliit na mga samahan. Marami na ring mga kababaihang may mga katungkulang pangtagapamahala at tagapangasiwa sa mga bangko, pamahalaan, at maging sa mga kompanyang multinasyonal.",humahawak ng mga matataas na mga puwesto
Ano ang disenyo ng Olimpikong sulo ay batay saan?,"Ang disenyo ng Olimpikong sulo ay batay sa mga nakaugaliang kalatas at gumagamit ng nakaugaliang disenyong Tsino na kinikilalang ""Mga Kaaya-ayang Alapaap"". Dinisenyo ang sulo upang mapanatili ang pagliyab ng apoy sa 65 kilometro bawat oras na hangin, at sa ulan ng hanggang sa 50 milimetro bawat oras.","na kinikilalang ""Mga Kaaya-ayang Alapaap"""
Ilan ang sukat ng tamaraw sa loob ng 20 kilometrong parisukat?,"Bilang karagdagan, ang mga maliliit na bilang ng subpopulasyon ng uri, na manipis na ang pagkakakalat sa kabuoan ng nahahating mga nasasakupan (noong 1986, may natagpuang mga 51 indibidwal sa loob ng isang 20 kilometrong-parisukat na pook), ang nakapagpapahirap at nakapagpapabihira pa sa maaaring pagkakatagpo ng higit man sa isang nag-iisang indibidwal.",51 indibidwal sa loob ng isang 20 kilometrong-parisukat na pook
Sino ang sumulat ng titik ng Pambansang Awit ng Filipinas?,Ang musika ay nasa batayang kompas na 2/4 at nasa tunugang C Mayor. Ang titik naman ng Pambansang Awit ng Filipinas ay nagsimula billing sang tula sa Espanyol. Isinulat ito ni Jose Palma.,Isinulat ito ni Jose Palma.
Bakit itinayo ang Rogationist Academy?,"Natapos ang paggawa ng mga gusali dalawang taon matapos ang simula nito. At noong Mayo, 1987, itinayo ang Rogationist Academy (Akademyang Rogasyonista) o RA sa SABV bilang isang paaralang Katolikong tumatanggap ng mga mag-aaral ng alin mang kasarian mula sa una hanggang ikaapat na antas.",RA sa SABV bilang isang paaralang Katolikong tumatanggap ng mga mag-aaral ng alin mang kasarian mula sa una hanggang ikaapat na antas
Ilang pook ang pagdarausan na gagamitin?,Itinaguyod ng pamahalaang Tsino ang Palaro upang maging mamukod-tangi at namuhunan nang lubos sa mga bagong pasilidad at mga sistemang pantransportasyon. May kabuoang 37 pook na pagdarausan ang gagamitin para pasinayahan ang mga ebento kabilang ang 12 bagong-tayong mga pook.,May kabuoang 37 pook
Ang Rogationist Academy ay isang paaralang ano?,"Natapos ang paggawa ng mga gusali dalawang taon matapos ang simula nito. At noong Mayo, 1987, itinayo ang Rogationist Academy o RA sa SABV bilang isang paaralang Katolikong tumatanggap ng mga mag-aaral ng alin mang kasarian mula sa una hanggang ikaapat na antas.",sa SABV bilang isang paaralang Katolikong tumatanggap
Ilang taon nag sasama ang babae at lalaki?,Ang mga babae at lalaking tamaraw ay nagsasama sa buoung taon ngunit ang pagsasamang ito ay tumatagal lamang ng kaunting oras lamang. Maaring ang pag-iisang ito ay isang kasanayan na sa magubat nitong tahanan.,kaunting oras lamang
Ano ang nilalahukan ng alak?,"Ang mga keso ay kinakain ng hilaw, luto, mag-isa or kalahok ng ibang rekado. Karamihan ng keso ang natutunaw at nangingitim kapag iniinit. Ilan ay natutunaw nang makinis at walang pamumuo kapag may kasamang asido at gawgaw. Ang cheese fondue na nilalahukan ng alak at nagbibigay asim ay isang halimbawa ng pagkaing keso na makinis kapag natunaw.",Ang cheese fondue na nilalahukan
Ilang minuto ang dapat gawin bawat araw para humaba ang buhay?,"Ayon sa pananaliksik, ang pag hehersisyo ng 30 minuto bawat araw ay nakakatulong para humaba ang buhay ng isang tao.",30 minuto
Kailan nagsimula ang Kasaysayan ng Pilipinas?,"Nagsimula ang Kasaysayan ng Pilipinas nang dumating ang mga sinaunang tao sa Pilipinas sa pamamagitan ng mga tulay na lupa 67,000 taon na ang nakalilipas. Ang unang tala na pagbisita na mula sa Kanluran ay ang pagdating ni Ferdinand Magellan sa pulo ng Homonhon, sa timog-silangan ng Samar noong ika-16 Marso 1521.","na lupa 67,000 taon na ang nakalilipas"
Bakit ipinagbabawal ang pagbinta ng bahagi ng tamaraw?,"Noong Mayo 2007, ang Bubalus mindorensis ay nasa Appendix I na ng Convention on International Trade in Endangered Species kung saan ang uri ay nilista pa noong 7 Enero 1975. Sinasabi sa listahan na ang uri ay lubhang nanganganib at maari nang mawala. Dahil dito, ang internasyonal na pagbebenta ng bahagi ng tamaraw tulad ng karne at sungay ay ilegal na.",ang uri ay lubhang nanganganib at maari nang mawala.
Ano ang hilig gawin ng tamaraw?,Mahilig magtampisaw ang tamaraw sa putik tulad ng ibang bovine. Sinasabing ang ugaling ito ay gingamit upang matanggal ang mga nangagagat na kulisap.,Mahilig magtampisaw ang tamaraw sa putik tulad
Anu ano ang sinaunang mamayan ng Pilipinas?,"Mga Negrito, Indones at Malay ang mga sinaunang mamamayan ng Pilipinas. Naganap pa ang iba pang migrasyon sa pamamagitan ng pagbiyahe sa tubig at nangyari sa loob ng ilang libong taon.","Mga Negrito, Indones at Malay ang mga sinaunang mamamayan"
Sino ang pinakabatang monarko at puno ng estado?,Si Jigme Khesar Namgyel Wangchuck ay ang ikalimang Haring Dragon ng Bhutan at puno ng Angkan ng Wangchuck (dinastiyang Wangchuck). Siya ay kasalukuyang pinakabatang monarka at puno ng estado.,Jigme Khesar Namgyel Wangchuck ay ang ikalimang Haring Dragon
Kailan nakatanggap ng pagkakilala mula sa Republika ng Pillipinas ang paaralan?,"At noong Hunyo 1990, nakatanggap ng pagkilala mula sa Republika ng Pilipinas ang paaralan. Noong 1991, naganap ang unang pagpapatapos ng Rogationist Academy na binubuo ng 66 na mag-aaral; mga interno ang 25 doon.",At noong Hunyo 1990
Saan nilipat ang kaganapan ang larong polong pantubig?,"Ang mga kaganapang paglalangoy, pagtalong-sisid at sabayang paglalangoy ay gaganapin sa Pambansang Sentro ng Akwatika ng Beijing sa panahon ng Olimpiyada. Ang kaganapang polong pantubig ay likas na gaganapin sa lugar na ito subali't lumipat sa Natatoryum na Ying Tung.",sa Natatoryum na Ying Tung
Ilan ang panlalaro ang kumuha ng double digit?,"Subalit hindi ito naging dahilan upang panghinaan ng loob ang Altas, bagkus ay bumanat ang limang manlalaro nito ng double digit scoring upang pagtulungan na muling maibalik ang Altas sa Final Four matapos ang Season 94.",ang limang manlalaro
Sa aeral rural ano ang pag aari ng babae?,"Sa mga areang rural, pag-aari ng tahanan ang babaeng Pilipino. Lumalapit sa kaniya ang mga bata para humingi ng salapi at tulong. Siya ang ingat-yaman ng mag-anak. Pinangangalagaan niya ang mga pangangailangang pampaaralan ng mga bata. Para sa mga hindi kasapi ng mag-anak na nangangailangan ng kalinga, ang asawang babae ang taong dapat lapitan.",ng tahanan ang babaeng Pilipino
Sino ang nakatuklas ng keso?,"Hindi alam kung kailan eksaktong sinimulan ang paggawa ng keso na tinatayang halos 8000 BCE (nang sinasabing masupil ang tupa) hanggang halos 3000 BCE. Sinasabing ang pagkakatuklas nito ay mula sa mga tribo at nomadikong Turko ng Gitnang Asya at halos kasabay ng panahon nang madebelop nila ang yogurt, o kaya’y mula sa mga pamayanan ang Gitnang Silangan.",at nomadikong Turko ng Gitnang Asya
Sino ang ang naginf diktadura?,"munlad ang ekonomiya ng Pilipinas noong dekada 1950 at 1960, ngunit nagkaroon ng kaguluhan noong mga huling taon ng dekada 1960 at mga unang taon ng dekada 1970 laban sa mapang-aping diktadura ni Pangulong Ferdinand Marcos na nagpahayag ng batas militar noong 1972.",Pangulong Ferdinand Marcos na nagpahayag
Ano ang pinapahalagahan ng lipunan?,"Pinahahalagahan ng lipunan noong bago sumapit ang kolonyalismo, na walang kinikilingang kasarian. Kasinghalaga ng mga lalaking anak ang mga babaeng anak, maaring dahil ito sa kalalabasang kaugnay ng pangkabuhayan, na makakatanggap ng handog na halaga mula sa mga manliligaw o maaaring maging asawang lalaki at sa kanilang kakayahang makatulong sa mga gawaing pangkabuhayan, panlipunan, at pampolitika ng mag-anak.",na walang kinikilingang kasarian
